Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
540	-126.942	0	-126.942	8.8157	8.8157	0.0625678	4.11794	0.610151	0.860832	1.07483	1.45419	0.329455	0.0890419	1.52327e-05	0.908361	0.00258203	75.2427	4.18051	4.11794
550	-122.756	0	-122.756	3.61281	3.61281	0.0625678	4.30559	0.431738	0.760657	1.08423	1.72337	0.321333	0.232233	0.00173394	0.75812	0.00791394	75.2512	4.36816	4.30559
560	-130.704	0	-130.704	11.8879	11.8879	0.0625678	3.10251	0.659138	0.88343	1.06876	1.38867	0.505352	0.525316	0.0593446	0.398613	0.0167269	73.821	3.16508	3.10251
570	-136.062	0	-136.062	3.58918	3.58918	0.0232388	2.85257	0.430264	0.759686	1.0842	1.72585	0.382394	0.370291	0.0712277	0.527709	0.0307724	72.3896	2.87581	2.85257
580	-136.661	0	-136.661	7.13235	7.13235	0.0232388	2.96625	0.572084	0.841976	1.07865	1.50729	0.0959127	0.225385	0.134908	0.574384	0.0653228	73.3728	2.98949	2.96625
590	-143.588	0	-143.588	9.54118	9.54118	0.0240617	2.94426	0.623642	0.867236	1.07328	1.43584	0.407836	0.37749	0.491653	0.00581156	0.125045	73.1168	2.96832	2.94426
600	-130.275	0	-130.275	21.4701	21.4701	0.0240617	3.11506	0.740554	0.917279	1.05618	1.28599	0.761179	0.00428167	0.991913	7.19457e-05	0.0037338	72.6906	3.13912	3.11506
610	-130.561	0	-130.561	87.3869	87.3869	0.0240617	5.76369	0.867489	0.962077	1.03139	1.13905	1.02698	0.126386	0.73988	0.00396353	0.12977	71.9018	5.78775	5.76369
620	-132.202	0	-132.202	35.6094	35.6094	0.0240617	5.71703	0.795755	0.937871	1.04611	1.22027	2.92648	0.0257194	0.727107	0.0888789	0.158295	71.3428	5.74109	5.71703
630	-122.124	0	-122.124	6.35015	6.35015	0.0240617	5.86352	0.550033	0.830492	1.08046	1.53901	7.57689	0.0211396	0.0391355	0.035371	0.904354	71.1947	5.88758	5.86352
