Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
620	-13299.5	-13119.7	-179.776	0.258035	0.258035	0.0664747	0.107187	0.00250756	0.0725507	0.518126	3.40682	16.7274	0.356098	0.361677	0.0594669	0.222758	92.9802	0.173661	0.107187
630	-13299	-13120.9	-178.074	0.261925	0.261925	0.0490568	0.188978	0.00271471	0.0754267	0.525967	3.39589	17.6071	0.359503	0.356736	0.0663579	0.217404	96.8519	0.238035	0.188978
640	-13299.9	-13123.6	-176.354	0.274552	0.274552	0.0477873	0.127207	0.00345851	0.0849089	0.550486	3.36115	16.3389	0.349602	0.369896	0.0614978	0.219004	97.3939	0.174995	0.127207
650	-13296.9	-13119.3	-177.61	0.253777	0.253777	0.046189	0.1123	0.00229249	0.069431	0.509384	3.41889	17.4479	0.351801	0.367887	0.0558523	0.224461	98.4963	0.158489	0.1123
660	-13302.7	-13124.3	-178.38	0.243965	0.243965	0.0381364	0.233727	0.00184234	0.0623677	0.488585	3.4472	16.8722	0.351801	0.367887	0.0558523	0.224461	96.1374	0.271863	0.233727
670	-13303	-13125.7	-177.283	0.266025	0.266025	0.0456152	0.0724744	0.00294418	0.0784824	0.534083	3.38449	15.7479	0.348232	0.364155	0.0654293	0.222184	96.7137	0.11809	0.0724744
680	-13305.3	-13127.3	-177.952	0.239196	0.239196	0.0356254	0.123434	0.00164588	0.0590059	0.47814	3.46121	17.4856	0.347112	0.373867	0.0616858	0.217334	98.7339	0.159059	0.123434
690	-13309.3	-13132.3	-177.093	0.241219	0.241219	0.050717	0.0967852	0.00172746	0.0604257	0.482598	3.45525	17.1014	0.36589	0.351991	0.0658296	0.21629	94.9813	0.147502	0.0967852
700	-13309.9	-13132.5	-177.46	0.253014	0.253014	0.0569101	0.084051	0.00225521	0.0688751	0.507799	3.42107	16.7025	0.362646	0.35878	0.0642011	0.214373	99.6151	0.140961	0.084051
710	-13299.2	-13121.9	-177.351	0.253504	0.253504	0.0568733	0.114008	0.00227912	0.0692322	0.508818	3.41967	17.7161	0.362646	0.35878	0.0642011	0.214373	90.2824	0.170881	0.114008
720	-13307.1	-13131.3	-175.727	0.24925	0.24925	0.0368673	0.149023	0.00207699	0.0661489	0.499901	3.43187	16.1436	0.368484	0.35246	0.061232	0.217824	90.2824	0.18589	0.149023
730	-13307.6	-13130.4	-177.194	0.238558	0.238558	0.0352035	0.196612	0.00162072	0.0585606	0.476728	3.46309	17.1464	0.371014	0.342262	0.0641219	0.222601	98.5434	0.231816	0.196612
740	-13300.5	-13125.2	-175.316	0.279684	0.279684	0.0431478	0.164662	0.00379234	0.0888157	0.560053	3.34734	14.3064	0.355905	0.354033	0.0652737	0.224788	92.3818	0.20781	0.164662
750	-13297.4	-13121.2	-176.106	0.245452	0.245452	0.0467869	0.170689	0.00190652	0.0634256	0.491796	3.44287	16.6919	0.358119	0.35678	0.067022	0.218079	93.9808	0.217476	0.170689
760	-13311.5	-13131.2	-180.239	0.277759	0.277759	0.0211598	0.137309	0.00366493	0.0873467	0.55649	3.3525	15.9788	0.352535	0.358507	0.0591943	0.229763	90.3192	0.158469	0.137309
770	-13302.4	-13126.8	-175.594	0.25869	0.25869	0.0458715	0.163651	0.00254175	0.0730337	0.519457	3.40497	16.6538	0.3372	0.38142	0.0587348	0.222645	94.5718	0.209523	0.163651
780	-13301.2	-13125.4	-175.833	0.254026	0.254026	0.0461886	0.130676	0.00230474	0.0696126	0.5099	3.41818	17.3855	0.366505	0.364709	0.0566366	0.212149	97.1121	0.176864	0.130676
790	-13304.3	-13127.4	-176.978	0.245929	0.245929	0.0461122	0.146612	0.0019274	0.0637658	0.49282	3.44149	16.4107	0.355741	0.368534	0.0613514	0.214373	98.6991	0.192724	0.146612
800	-13296.1	-13120.5	-175.662	0.251782	0.251782	0.0460558	0.086088	0.00219587	0.0679802	0.50523	3.42459	16.0182	0.352333	0.356598	0.0598084	0.23126	90.6246	0.132144	0.086088
810	-13305.3	-13128.4	-176.934	0.260812	0.260812	0.037546	0.24031	0.0026544	0.0746015	0.523738	3.39901	16.1565	0.344248	0.367829	0.0613089	0.226614	92.3152	0.277856	0.24031
820	-13303.2	-13127.1	-176.062	0.261384	0.261384	0.0446224	0.0952158	0.00268533	0.075026	0.524887	3.3974	16.0096	0.344257	0.370221	0.0589025	0.226619	98.4726	0.139838	0.0952158
830	-13306.3	-13127.6	-178.689	0.273495	0.273495	0.0670168	0.0701847	0.00339202	0.0841076	0.548488	3.36401	16.6186	0.348622	0.367906	0.0596591	0.223813	98.5226	0.137202	0.0701847
840	-13315.5	-13136.6	-178.957	0.280612	0.280612	0.0628267	0.2242	0.0038547	0.0895253	0.56176	3.34486	15.028	0.36883	0.354572	0.05885	0.217748	90.3848	0.287027	0.2242
850	-13306	-13130.5	-175.569	0.245293	0.245293	0.04994	0.150144	0.00189958	0.0633121	0.491453	3.44334	17.387	0.367755	0.352354	0.0627782	0.217113	88.6804	0.200084	0.150144
860	-13305	-13129.1	-175.832	0.254942	0.254942	0.0610358	0.0846198	0.0023501	0.0702811	0.511791	3.41558	15.3263	0.36553	0.352407	0.0615088	0.220555	98.4342	0.145656	0.0846198
870	-13298.2	-13121.9	-176.267	0.248367	0.248367	0.0372593	0.261318	0.00203653	0.0655133	0.498029	3.43442	17.8447	0.36869	0.355454	0.0570429	0.218813	88.9503	0.298577	0.261318
880	-13301.3	-13125.4	-175.828	0.247039	0.247039	0.0393159	0.15455	0.00197661	0.0645599	0.495199	3.43826	16.7868	0.363597	0.350544	0.0700693	0.21579	99.2825	0.193866	0.15455
890	-13299.3	-13122.7	-176.591	0.251504	0.251504	0.0353769	0.291475	0.0021826	0.0677783	0.504647	3.42539	16.6031	0.362429	0.355254	0.0636272	0.21869	88.5839	0.326852	0.291475
900	-13305.4	-13130	-175.453	0.2592	0.2592	0.0629149	0.0798982	0.00256856	0.0734101	0.52049	3.40353	17.2761	0.362034	0.347972	0.0618741	0.228121	88.0349	0.142813	0.0798982
910	-13310	-13133.9	-176.094	0.254489	0.254489	0.060642	0.0933366	0.00232761	0.0699505	0.510857	3.41686	16.592	0.361839	0.357137	0.0635039	0.21752	91.1647	0.153979	0.0933366
920	-13314.2	-13137.7	-176.467	0.249965	0.249965	0.0410694	0.134574	0.00211015	0.066665	0.501413	3.42981	17.8665	0.359582	0.35491	0.0695049	0.216003	95.4349	0.175643	0.134574
930	-13303.2	-13126.6	-176.62	0.238008	0.238008	0.0414794	0.105954	0.00159918	0.0581766	0.475504	3.46472	17.1903	0.354192	0.353597	0.0656447	0.226567	94.2201	0.147433	0.105954
940	-13299.8	-13126.1	-173.746	0.257402	0.257402	0.0518427	0.139435	0.00247486	0.0720855	0.516839	3.4086	14.8601	0.344131	0.366752	0.0637801	0.225337	86.1336	0.191277	0.139435
950	-13304.2	-13123.6	-180.578	0.258098	0.258098	0.0488048	0.350994	0.00251084	0.0725972	0.518254	3.40664	17.3756	0.350402	0.360893	0.0622087	0.226496	99.5136	0.399799	0.350994
960	-13301.5	-13124.3	-177.205	0.260891	0.260891	0.0312095	0.157805	0.00265869	0.0746605	0.523898	3.39878	16.9528	0.364697	0.350894	0.062454	0.221955	92.8772	0.189015	0.157805
970	-13301.1	-13123.8	-177.259	0.252569	0.252569	0.0332826	0.106756	0.00223368	0.0685517	0.506873	3.42234	16.2999	0.353417	0.364186	0.0641557	0.218241	95.4518	0.140039	0.106756
980	-13303.3	-13125.8	-177.527	0.246711	0.246711	0.0270229	0.263329	0.00196201	0.0643253	0.494498	3.43921	16.6131	0.349221	0.363282	0.058314	0.229183	93.6144	0.290352	0.263329
990	-13307.7	-13129.7	-177.971	0.268488	0.268488	0.0622858	0.0949458	0.00308762	0.0803298	0.538888	3.37769	17.6991	0.361117	0.367457	0.0606255	0.210801	95.8767	0.157232	0.0949458
1000	-13297.3	-13118.7	-178.622	0.248174	0.248174	0.0492304	0.147325	0.00202775	0.0653746	0.49762	3.43498	18.9516	0.365153	0.35794	0.0599502	0.216957	97.6731	0.196555	0.147325
1010	-13306.3	-13128.1	-178.186	0.238079	0.238079	0.0421275	0.143687	0.00160195	0.0582262	0.475663	3.46451	17.7236	0.329645	0.376471	0.0655323	0.228352	99.8108	0.185815	0.143687
1020	-13309	-13128.8	-180.148	0.250467	0.250467	0.0295714	0.254461	0.00213359	0.0670274	0.502469	3.42837	17.7274	0.373397	0.349544	0.0616403	0.215418	97.5854	0.284032	0.254461
1030	-13302.4	-13125.4	-176.987	0.242844	0.242844	0.044424	0.109754	0.00179485	0.0615728	0.486149	3.45048	17.6153	0.366507	0.355583	0.0589242	0.218986	92.0694	0.154178	0.109754
1040	-13305.8	-13128.1	-177.678	0.258392	0.258392	0.0478818	0.0447726	0.00252618	0.0728142	0.518853	3.40581	15.5492	0.366792	0.35586	0.0641937	0.213154	97.5434	0.0926544	0.0447726
1050	-13297.4	-13122.6	-174.729	0.279048	0.279048	0.0616478	0.0936419	0.00374997	0.0883301	0.55888	3.34904	15.2514	0.354093	0.359876	0.0662213	0.21981	87.0409	0.15529	0.0936419
1060	-13296.8	-13121.3	-175.435	0.265119	0.265119	0.0560572	0.0557773	0.00289252	0.0778056	0.532304	3.387	16.2461	0.351025	0.372864	0.0601403	0.215971	92.438	0.111834	0.0557773
1070	-13299.9	-13123.5	-176.357	0.250053	0.250053	0.0560572	0.123717	0.00211422	0.0667282	0.501597	3.42956	16.7131	0.37698	0.344717	0.0652559	0.213046	94.0115	0.179774	0.123717
1080	-13314.7	-13133.9	-180.842	0.249024	0.249024	0.042282	0.449379	0.00206656	0.0659857	0.499422	3.43253	16.1389	0.357797	0.356315	0.0665892	0.219299	91.3983	0.491661	0.449379
1090	-13303.1	-13127.3	-175.714	0.26472	0.26472	0.035619	0.156491	0.00286992	0.0775075	0.531517	3.38811	14.9542	0.335583	0.374191	0.0606973	0.229528	87.0278	0.19211	0.156491
1100	-13301.2	-13126.5	-174.677	0.242743	0.242743	0.0401219	0.127669	0.0017906	0.0615011	0.485929	3.45078	15.9413	0.335632	0.376855	0.0579505	0.229562	87.6802	0.167791	0.127669
1110	-13300.2	-13124.9	-175.324	0.259099	0.259099	0.0400523	0.261289	0.00256324	0.0733355	0.520286	3.40382	14.815	0.352168	0.353035	0.0642301	0.230568	92.8284	0.301341	0.261289
1120	-13301.6	-13126	-175.618	0.247531	0.247531	0.0501202	0.200135	0.00199866	0.0649125	0.496249	3.43684	16.2024	0.352952	0.353821	0.0649039	0.228324	93.2956	0.250255	0.200135
1130	-13303.7	-13128.7	-174.978	0.253141	0.253141	0.0374903	0.137095	0.00226138	0.0689675	0.508063	3.42071	16.1963	0.357426	0.356347	0.0562737	0.229954	91.1989	0.174585	0.137095
1140	-13307.7	-13134	-173.649	0.257755	0.257755	0.0430336	0.126974	0.00249305	0.0723448	0.517557	3.40761	13.859	0.35563	0.349374	0.0618586	0.233137	87.4374	0.170008	0.126974
