Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
470	-129.243	0	-129.243	1.11059	1.11059	0.0307621	3.83645	0.158476	0.507642	1.01615	2.31773	0.627303	0.185649	0.0024183	0.383696	0.428237	82.2476	3.86721	3.83645
480	-136.762	0	-136.762	1.31947	1.31947	0.0547464	3.23949	0.19604	0.555462	1.03779	2.21071	0.604948	0.0222786	0.000781504	0.878914	0.0980258	80.8799	3.29424	3.23949
490	-130.338	0	-130.338	4.68225	4.68225	0.0547464	3.03192	0.48832	0.795926	1.08381	1.63195	3.60321	0.187987	0.00897512	0.752201	0.0508371	80.3772	3.08667	3.03192
500	-130.717	0	-130.717	2.53267	2.53267	0.0547464	2.72956	0.349532	0.70186	1.07899	1.86962	1.67086	0.705159	0.00416068	0.0309426	0.259737	81.064	2.78431	2.72956
510	-139.631	0	-139.631	7.91768	7.91768	0.0376676	2.79405	0.5912	0.851594	1.07683	1.48038	1.38943	0.452865	0.0958214	0.39219	0.0591242	81.9787	2.83172	2.79405
520	-151.927	0	-151.927	27.5947	27.5947	0.0376676	2.03243	0.769463	0.928286	1.05105	1.2512	1.06344	0.918259	0.0102429	0.0206591	0.0508392	80.9362	2.07009	2.03243
530	-143.98	0	-143.98	5.62767	5.62767	0.0260099	2.03574	0.526228	0.817599	1.08207	1.5741	2.22845	0.0643017	0.568394	0.100852	0.266452	80.0803	2.06175	2.03574
540	-149.651	0	-149.651	10.5231	10.5231	0.0260099	1.55172	0.639819	0.874731	1.0713	1.41415	1.03521	0.000511486	0.390335	0.00344894	0.605705	80.0256	1.57773	1.55172
550	-141.819	0	-141.819	32.7006	32.7006	0.0260099	2.63107	0.787297	0.934831	1.04773	1.23015	1.01276	1.47343e-05	0.865773	0.00363223	0.13058	79.1776	2.65708	2.63107
560	-129.499	0	-129.499	15.2648	15.2648	0.0260099	2.28807	0.695982	0.89929	1.06343	1.3413	1.33529	5.12301e-05	0.238816	0.0153127	0.74582	80.0552	2.31408	2.28807
570	-134.113	0	-134.113	25.091	25.091	0.0356152	2.21833	0.758874	0.924313	1.05297	1.26385	0.553052	6.99158e-05	0.731203	0.0660124	0.202715	80.0456	2.25395	2.21833
580	-135.02	0	-135.02	11.8978	11.8978	0.0356152	2.57127	0.659267	0.883487	1.06874	1.3885	1.00715	1.58707e-05	0.439105	0.0678238	0.493055	79.1926	2.60689	2.57127
590	-136.734	0	-136.734	21.5088	21.5088	0.0301496	3.3043	0.740773	0.917364	1.05614	1.28572	0.580176	4.87767e-05	0.614437	0.0488676	0.336647	78.6061	3.33445	3.3043
600	-135.164	0	-135.164	13.1398	13.1398	0.0488182	3.06382	0.674333	0.890084	1.06664	1.36895	0.935492	2.48014e-05	0.420192	0.0237837	0.555999	77.7891	3.11264	3.06382
610	-130.595	0	-130.595	9.01762	9.01762	0.0293402	2.54143	0.614054	0.862699	1.07439	1.44886	0.225212	6.27961e-05	0.167042	0.183706	0.649189	78.777	2.57077	2.54143
620	-139.483	0	-139.483	2.78544	2.78544	0.0293402	3.03361	0.371951	0.718911	1.08123	1.82791	0.315449	5.82853e-05	0.203531	0.13683	0.65958	78.8602	3.06295	3.03361
630	-128.849	0	-128.849	4.44781	4.44781	0.0554545	4.19061	0.47739	0.789398	1.0841	1.64911	0.187392	1.59218e-05	0.017395	0.569691	0.412898	77.57	4.24607	4.19061
640	-131.068	0	-131.068	4.58899	4.58899	0.0554545	4.10573	0.484056	0.793395	1.08393	1.63861	0.168403	0.000704301	0.00834933	0.80966	0.181287	76.5742	4.16118	4.10573
650	-128.495	0	-128.495	5.7008	5.7008	0.0554545	3.84811	0.528815	0.819025	1.08192	1.57024	0.838348	5.4823e-05	0.0136151	0.91856	0.0677705	77.5963	3.90357	3.84811
660	-127.515	0	-127.515	2.35448	2.35448	0.0554545	2.52741	0.332211	0.688092	1.07677	1.90293	0.190325	0.00044248	0.00697896	0.840038	0.152541	79.0027	2.58286	2.52741
670	-144.103	0	-144.103	8.909	8.909	0.0522147	2.86907	0.611969	0.861703	1.07462	1.45171	0.287162	0.00922286	0.0170275	0.741497	0.232252	79.2724	2.92129	2.86907
680	-125.033	0	-125.033	28.4215	28.4215	0.0389967	2.96352	0.77266	0.929473	1.05046	1.2474	0.817968	0.0046581	0.0132869	0.394648	0.587407	80.4472	3.00252	2.96352
690	-127.788	0	-127.788	19.3651	19.3651	0.040559	3.59333	0.727735	0.912234	1.05835	1.30168	0.834227	0.614971	0.13319	0.128131	0.123707	79.134	3.63389	3.59333
700	-128.66	0	-128.66	11.8879	11.8879	0.040559	3.46262	0.659138	0.88343	1.06876	1.38867	0.825605	0.416783	0.117808	0.256731	0.208678	80.458	3.50318	3.46262
710	-138.539	0	-138.539	19.1572	19.1572	0.0370309	3.22483	0.726362	0.911688	1.05858	1.30337	0.715648	0.433137	0.498742	0.0367433	0.0313783	80.6846	3.26186	3.22483
720	-139.818	0	-139.818	12.9823	12.9823	0.0521605	2.7606	0.672535	0.889305	1.06689	1.37127	2.36975	0.291919	0.355869	0.184044	0.168168	79.6284	2.81276	2.7606
730	-128.096	0	-128.096	16.4912	16.4912	0.0493749	2.65371	0.70664	0.903708	1.06177	1.32788	4.59642	0.0964318	0.0916662	0.800929	0.010973	79.5752	2.70309	2.65371
740	-142.811	0	-142.811	72.4107	72.4107	0.0493749	3.78075	0.854828	0.958003	1.03411	1.15306	3.39227	0.000802942	0.00280434	0.99497	0.00142305	77.6935	3.83013	3.78075
750	-141.075	0	-141.075	10.3402	10.3402	0.0493749	2.80238	0.636966	0.873424	1.07166	1.41795	4.01481	0.0017929	0.52044	0.475615	0.0021525	78.036	2.85175	2.80238
760	-131.444	0	-131.444	10.9984	10.9984	0.0493749	2.8999	0.646922	0.877961	1.07039	1.40473	6.40154	0.00423758	0.541188	0.454249	0.000325143	77.1357	2.94928	2.8999
770	-140.425	0	-140.425	3.27025	3.27025	0.0493749	2.65973	0.409146	0.745472	1.08356	1.76182	3.83566	0.0228303	0.944344	0.0320626	0.000763145	75.972	2.70911	2.65973
780	-139.302	0	-139.302	5.33372	5.33372	0.0493749	4.08647	0.515374	0.811541	1.08268	1.59041	5.28964	0.0951895	0.561879	0.25803	0.0849016	76.8505	4.13585	4.08647
790	-140.811	0	-140.811	11.7901	11.7901	0.0197851	2.47955	0.657858	0.882862	1.06893	1.39035	8.32104	0.0116064	0.539834	0.361814	0.0867453	77.3483	2.49933	2.47955
800	-141.031	0	-141.031	16.2088	16.2088	0.0197851	2.1252	0.704287	0.902739	1.06214	1.33083	0.977943	0.00344259	0.869012	0.0737288	0.0538161	77.1748	2.14499	2.1252
810	-139.045	0	-139.045	8.1956	8.1956	0.0172867	2.62959	0.597363	0.85463	1.0762	1.47181	2.0988	0.0208408	0.436033	0.476245	0.0668817	78.1177	2.64688	2.62959
820	-144.47	0	-144.47	3.39691	3.39691	0.028869	1.71787	0.417813	0.751378	1.08388	1.74693	1.09252	0.219704	0.105312	0.155366	0.519618	78.6302	1.74674	1.71787
830	-139.137	0	-139.137	5.72153	5.72153	0.0481911	2.59489	0.52954	0.819424	1.08187	1.56916	2.99678	0.071081	0.0413093	0.373842	0.513768	78.7944	2.64308	2.59489
840	-138.918	0	-138.918	5.66486	5.66486	0.0244566	2.26734	0.527549	0.818328	1.08199	1.57213	3.35587	0.0502327	0.836583	0.0758132	0.0373714	78.6136	2.29179	2.26734
850	-131.435	0	-131.435	3.56091	3.56091	0.0151671	2.68304	0.428484	0.758511	1.08417	1.72884	1.34183	0.0240401	0.895976	0.00204078	0.0779435	80.6789	2.69821	2.68304
860	-131.312	0	-131.312	12.7577	12.7577	0.0151671	4.03963	0.669916	0.888166	1.06726	1.37465	1.15699	0.286958	0.689681	0.000976768	0.0223845	80.3198	4.0548	4.03963
870	-138.257	0	-138.257	12.9431	12.9431	0.0159369	4.70822	0.672082	0.889108	1.06696	1.37185	2.51865	0.547157	0.45089	9.67992e-05	0.00185702	79.1422	4.72416	4.70822
880	-126.046	0	-126.046	14.6993	14.6993	0.0159369	3.25955	0.690653	0.897054	1.06424	1.34806	1.34977	0.228039	0.769662	9.44536e-05	0.00220402	77.8882	3.27549	3.25955
890	-130.304	0	-130.304	29.8718	29.8718	0.0220559	2.94683	0.777958	0.931427	1.04948	1.24113	1.68337	0.140438	0.841288	0.000265675	0.0180079	78.4518	2.96888	2.94683
900	-132.474	0	-132.474	25.7653	25.7653	0.023878	3.24733	0.761871	0.925444	1.05243	1.26026	1.2227	0.314993	0.0607729	0.000407758	0.623826	79.8303	3.27121	3.24733
910	-135.308	0	-135.308	31.0639	31.0639	0.0525054	3.63986	0.782043	0.932922	1.04872	1.23632	1.10959	0.920792	0.013289	0.00038638	0.0655324	79.5692	3.69237	3.63986
920	-142.035	0	-142.035	24.2562	24.2562	0.0386589	4.73155	0.755	0.922842	1.05366	1.2685	5.00264	0.319901	0.0799517	0.0640185	0.536129	79.5887	4.77021	4.73155
930	-131.746	0	-131.746	29.7715	29.7715	0.0386589	4.4525	0.777604	0.931297	1.04955	1.24155	2.46679	0.193007	0.0257097	0.498039	0.283244	79.4091	4.49116	4.4525
940	-135.768	0	-135.768	12.1102	12.1102	0.0386589	3.91332	0.661995	0.884693	1.06837	1.38494	0.540587	0.041999	0.0240128	0.884607	0.0493808	79.039	3.95198	3.91332
950	-128.654	0	-128.654	20.7047	20.7047	0.0386589	3.83643	0.736109	0.915541	1.05694	1.29141	1.10845	0.0413184	0.279173	0.635929	0.0435797	78.1327	3.87509	3.83643
960	-135.822	0	-135.822	43.1986	43.1986	0.0386589	2.69106	0.813774	0.944213	1.04258	1.19944	0.4722	0.431806	0.0482736	0.422258	0.0976629	76.7053	2.72972	2.69106
970	-128.573	0	-128.573	8.12599	8.12599	0.0300495	2.92521	0.595846	0.853886	1.07636	1.47391	0.925041	0.296551	0.565449	0.0896681	0.0483317	75.847	2.95526	2.92521
980	-131.487	0	-131.487	6.59266	6.59266	0.0633406	2.97381	0.557238	0.834292	1.0799	1.52857	0.580684	0.192817	0.642222	0.157808	0.00715225	75.138	3.03715	2.97381
990	-139.278	0	-139.278	3.28987	3.28987	0.0467485	2.18652	0.410514	0.746412	1.08362	1.75946	0.395788	0.32512	0.443557	0.0698106	0.161512	74.037	2.23326	2.18652
1000	-132.019	0	-132.019	5.26768	5.26768	0.0467485	2.63143	0.512829	0.810103	1.08281	1.59426	0.186679	0.418316	0.182903	0.179242	0.219539	75.1867	2.67817	2.63143
1010	-126.767	0	-126.767	60.9639	60.9639	0.0467485	4.18812	0.842223	0.953865	1.03677	1.16714	0.531274	0.0310951	0.284815	0.377333	0.306757	75.6974	4.23487	4.18812
1020	-123.415	0	-123.415	85.4865	85.4865	0.0467485	4.2508	0.866065	0.961623	1.0317	1.14062	0.523584	0.000406241	0.15866	0.265123	0.575812	74.9762	4.29755	4.2508
1030	-115.874	0	-115.874	19.7532	19.7532	0.0353373	4.51345	0.730244	0.91323	1.05793	1.2986	0.387083	0.0546796	0.26153	0.478719	0.205071	74.3271	4.54879	4.51345
1040	-123.19	0	-123.19	44.4551	44.4551	0.0353373	4.04488	0.816317	0.945094	1.04207	1.19652	0.183958	0.0247851	0.423802	0.203496	0.347916	74.9096	4.08022	4.04488
1050	-133.655	0	-133.655	41.2677	41.2677	0.0353373	4.03256	0.80965	0.942778	1.04339	1.20418	0.512986	0.167521	0.0364968	0.346209	0.449773	74.1784	4.0679	4.03256
1060	-137.008	0	-137.008	16.0651	16.0651	0.0287776	4.87624	0.703067	0.902235	1.06233	1.33237	0.405952	0.0620234	0.165035	0.646073	0.126868	73.0114	4.90502	4.87624
1070	-136.416	0	-136.416	21.5368	21.5368	0.0287442	4.97049	0.740931	0.917425	1.05612	1.28553	0.785873	0.495463	0.321156	0.126153	0.0572278	73.1176	4.99923	4.97049
1080	-130.266	0	-130.266	16.3218	16.3218	0.0287442	4.78234	0.705235	0.90313	1.06199	1.32964	0.401164	0.110852	0.788557	0.0657245	0.034866	74.1644	4.81109	4.78234
1090	-130.957	0	-130.957	16.4153	16.4153	0.0287442	3.52395	0.706013	0.90345	1.06187	1.32867	0.225616	0.611692	0.214921	0.00659633	0.166791	75.4161	3.55269	3.52395
1100	-129.611	0	-129.611	1.57397	1.57397	0.0769319	3.68062	0.236527	0.600423	1.05449	2.10856	0.173648	0.248234	0.738688	0.0012992	0.0117788	75.6418	3.75755	3.68062
1110	-135.378	0	-135.378	2.39865	2.39865	0.0365033	4.23289	0.336633	0.691658	1.07738	1.89433	0.168468	0.470299	0.257708	0.00269316	0.2693	75.9049	4.26939	4.23289
1120	-137.792	0	-137.792	2.45334	2.45334	0.0399969	4.03607	0.341988	0.69593	1.07808	1.884	0.335044	0.289855	0.0854484	0.0582438	0.566453	75.8425	4.07606	4.03607
1130	-143.815	0	-143.815	2.12107	2.12107	0.0548008	2.99953	0.307311	0.6673	1.07274	1.95265	0.105813	0.264363	0.050377	0.636133	0.0491268	75.2668	3.05433	2.99953
1140	-134.737	0	-134.737	1.23534	1.23534	0.0548008	2.50705	0.181399	0.537626	1.03019	2.25078	0.709652	0.308181	0.304282	0.291528	0.0960094	75.0886	2.56185	2.50705
1150	-139.949	0	-139.949	3.4489	3.4489	0.0548008	2.58787	0.421261	0.753699	1.08398	1.74105	0.789859	0.0229251	0.81567	0.115565	0.0458392	76.1311	2.64267	2.58787
