Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
400	-13310.5	-13130.9	-179.676	0.252847	0.252847	0.0410797	0.0430054	0.00224712	0.0687537	0.507452	3.42155	17.3092	0.355803	0.363983	0.0582846	0.221929	98.668	0.0840851	0.0430054
410	-13309.5	-13131.8	-177.707	0.249892	0.249892	0.0521471	0.064244	0.00210671	0.0666117	0.501257	3.43002	18.2472	0.359613	0.362022	0.0605941	0.217771	92.5452	0.116391	0.064244
420	-13314	-13134.6	-179.403	0.285393	0.285393	0.0475524	0.0360712	0.0041854	0.0931915	0.570437	3.33219	16.4288	0.356127	0.363172	0.0622383	0.218462	97.3458	0.0836236	0.0360712
430	-13304.3	-13127.8	-176.485	0.242278	0.242278	0.0509589	0.0808077	0.00177118	0.0611725	0.484915	3.45214	16.9401	0.364067	0.360302	0.0588952	0.216736	94.2427	0.131767	0.0808077
440	-13303.1	-13125.4	-177.718	0.266126	0.266126	0.0347506	0.133874	0.00295002	0.0785585	0.534283	3.38421	17.446	0.37219	0.348399	0.0636163	0.215795	97.6533	0.168624	0.133874
450	-13299.1	-13120.5	-178.597	0.249597	0.249597	0.0571423	0.0362141	0.00209301	0.0663988	0.500634	3.43087	16.7064	0.370653	0.348978	0.0638529	0.216517	97.8607	0.0933564	0.0362141
460	-13309	-13131.9	-177.055	0.266845	0.266845	0.0452757	0.10519	0.00299147	0.0790966	0.535689	3.38222	16.0382	0.372505	0.350722	0.0591735	0.217599	97.5975	0.150465	0.10519
470	-13298.3	-13121.9	-176.331	0.257467	0.257467	0.037498	0.145938	0.00247816	0.0721326	0.516969	3.40842	16.715	0.375848	0.348993	0.0579411	0.217218	94.023	0.183436	0.145938
480	-13304.3	-13127	-177.317	0.262332	0.262332	0.0367739	0.0789553	0.00273698	0.075729	0.52678	3.39475	16.5618	0.374014	0.343845	0.0646684	0.217473	93.944	0.115729	0.0789553
490	-13306.5	-13130.2	-176.357	0.229518	0.229518	0.0546412	0.107409	0.00129055	0.0523508	0.456259	3.4901	16.1139	0.374014	0.343845	0.0646684	0.217473	97.4682	0.16205	0.107409
500	-13304.1	-13128.1	-176.025	0.262643	0.262643	0.0593354	0.083218	0.00275407	0.0759601	0.5274	3.39389	17.8662	0.357749	0.370977	0.0632587	0.208015	93.0634	0.142553	0.083218
510	-13305.3	-13124.5	-180.84	0.259394	0.259394	0.0739396	0.0727879	0.00257881	0.0735533	0.520883	3.40299	17.385	0.367083	0.350785	0.06335	0.218782	99.208	0.146728	0.0727879
520	-13296.9	-13120.8	-176.048	0.254974	0.254974	0.0426695	0.170414	0.00235171	0.0703047	0.511858	3.41549	15.7598	0.352143	0.360011	0.063309	0.224537	93.1884	0.213084	0.170414
530	-13311.7	-13135.1	-176.657	0.249791	0.249791	0.0392175	0.1363	0.00210204	0.0665392	0.501045	3.43031	18.8096	0.363497	0.359217	0.0615037	0.215782	94.9316	0.175518	0.1363
540	-13303.1	-13127.1	-176.056	0.236478	0.236478	0.0445923	0.0817598	0.0015403	0.0571133	0.472088	3.46926	16.4452	0.362901	0.360338	0.060306	0.216455	94.5657	0.126352	0.0817598
550	-13298.5	-13122.7	-175.811	0.243472	0.243472	0.0440386	0.126489	0.00182136	0.0620179	0.487516	3.44865	17.1746	0.36043	0.362801	0.0594702	0.217299	94.2771	0.170528	0.126489
560	-13303.8	-13126	-177.771	0.260365	0.260365	0.0391714	0.169655	0.00263042	0.0742707	0.52284	3.40026	17.545	0.36043	0.362801	0.0594702	0.217299	96.7476	0.208827	0.169655
570	-13301.1	-13124.4	-176.725	0.264245	0.264245	0.0417944	0.138919	0.00284318	0.0771533	0.530579	3.38942	15.9247	0.34408	0.362594	0.0565697	0.236756	97.5547	0.180714	0.138919
580	-13301.4	-13124.1	-177.356	0.252872	0.252872	0.0537003	0.0513561	0.0022483	0.0687714	0.507502	3.42148	15.771	0.336145	0.377402	0.0638976	0.222556	98.4708	0.105056	0.0513561
590	-13305.4	-13129.1	-176.368	0.249462	0.249462	0.0479471	0.144525	0.00208679	0.0663018	0.50035	3.43126	16.2524	0.349985	0.367917	0.0660768	0.216022	92.6555	0.192472	0.144525
600	-13299.9	-13122.1	-177.8	0.254865	0.254865	0.0495251	0.161151	0.00234627	0.0702248	0.511633	3.4158	16.8202	0.346508	0.368062	0.059412	0.226019	97.2584	0.210677	0.161151
610	-13300	-13123.9	-176.061	0.255437	0.255437	0.04255	0.102315	0.00237489	0.0706436	0.512812	3.41417	15.625	0.336907	0.383942	0.0593955	0.219756	93.911	0.144864	0.102315
620	-13303.4	-13125.5	-177.961	0.255666	0.255666	0.0587729	0.0996266	0.0023864	0.0708112	0.513283	3.41352	16.9584	0.344336	0.36213	0.063248	0.230287	99.1215	0.158399	0.0996266
630	-13299.9	-13123.6	-176.302	0.241262	0.241262	0.0574499	0.0683996	0.00172923	0.0604562	0.482693	3.45512	15.7226	0.348364	0.359905	0.0628594	0.228872	92.8804	0.12585	0.0683996
640	-13299.6	-13122.9	-176.743	0.263877	0.263877	0.0416957	0.251532	0.00282253	0.0768786	0.52985	3.39045	16.6688	0.353477	0.365188	0.0588154	0.22252	94.5605	0.293228	0.251532
650	-13302.9	-13127	-175.961	0.260826	0.260826	0.0484304	0.158372	0.00265517	0.0746122	0.523767	3.39897	16.6044	0.339692	0.372423	0.0662545	0.22163	91.4723	0.206802	0.158372
660	-13301.9	-13124.1	-177.744	0.246061	0.246061	0.0423038	0.177845	0.00193322	0.0638601	0.493104	3.4411	17.7028	0.348103	0.354777	0.0638149	0.233306	98.7355	0.220149	0.177845
670	-13308.9	-13130.7	-178.228	0.257499	0.257499	0.033075	0.0978572	0.00247983	0.0721565	0.517035	3.40833	16.9694	0.364419	0.358808	0.0634499	0.213323	93.9315	0.130932	0.0978572
